Date,Country,Site,Lat,Long,Transect,dist_port,Depth,cprod_mean,cprod_l95,cprod_u95,macberos_mean,micberos,rug,tlength,hcprod_mean,hcprod_l95,hcprod_u95,ccaprod_mean,ccaprod_l95,ccaprod_u95,eros_urch,Balance,lower95,upper95,coral_cover,cca_cover,sed_cover,soft_cover,mac_cover,turf_cover,rub_cover,rock_cover,lpave_cover,sand_cover,tot-bare-substrate,other_cover,numb_gen,eros_pfish,gnet,eros_tot,prod_bacro,prod_tacro,prod_br_por,prod_poc,prod_othbrcor,prod_masspor,prod_massother,prod_encpor,prod_othenc,prod_fol,prod_mush,prod_other,prod_branchinf,prod_mass,prod_enc,prod_oth,cover_comp,cover_weedy,cover_general,cover_stress,prod_com,prod_weed,prod_gen,prod_stress,v_accret
11/06/2017,Singapore,Djong,1.214449,103.787036,1,9.21,3.8,1.012778386,0.590314197,1.523939065,0.973511,0.973511,2.039,10,0.919715386,0.542023297,1.386103965,0.093063,0.0482909,0.1378351,0.881078438,-1.91601996,-0.290764241,0.642860628,5.665280665,13.15340909,0.681818182,0,15.22727273,25.56818182,16.30681818,0,0,4.431818182,20.73863636,0.795454545,2,0.390277663,-2.160827615,3.218378101,0,0,0,0,0,0,0.675394534,0,0.244320852,0,0,2.22E-16,0,0.675394534,0.244320852,2.22E-16,0,0,0,100,0,0,0,0.919715386,-0.062167374
11/06/2017,Singapore,Djong,1.214449,103.787036,2,9.21,4.2,1.423045288,0.673002514,2.246452993,1.059333,1.059333,2.174,10,1.298023288,0.608127914,2.061283593,0.125022,0.0648746,0.1851694,0.594150113,-0.213694917,-0.011489522,1.587545955,7.923228346,18.27262045,1.380728555,0.646298472,20.29964747,15.39365452,15.04112808,0,0,3.672150411,18.7132785,1.850763807,7,0.390277663,-1.69741218,3.103093776,0,0,0.313623545,0,0,0,0.102404269,0,0.11961585,0,0,0.762379624,0.313623545,0.102404269,0.11961585,7.62E-01,0,30.43478261,49.68944099,19.8757764,0,0.641120882,0.496250654,0.160651753,0.113042196
11/06/2017,Singapore,Djong,1.214449,103.787036,3,9.21,4.3,2.43720455,0.610121915,4.478177545,1.025211,1.025211,2.023,10,2.31117755,0.560370815,4.291519645,0.126027,0.0497511,0.1866579,0.382920364,1.243305272,0.246239857,4.324889622,18.0293501,20.23233301,0.451758632,0.419490158,17.03775411,19.07066796,13.87544369,0,0,1.290738948,15.16618264,1.355275895,6,0.390277663,-0.202770491,2.823620027,0,0,0,0,0,0,0,0,0.182381767,0.165992427,0,1.962803357,0,0,0.182381767,2.13E+00,40.40697674,15.69767442,37.79069767,6.104651163,0.769105937,1.105303513,0.424766541,0.01200156,0.781722354
11/06/2017,Singapore,Djong,1.214449,103.787036,4,9.21,4.1,0.337689403,0.142546052,0.567426644,0.891308,0.891308,1.763,10,0.237792403,0.090708952,0.419469744,0.099897,0.0518371,0.1479569,0.298333852,-0.772648449,-0.155787801,0.269092791,3.837342497,18.18514453,3.768752287,0,27.29601171,25.68605928,8.671789243,0,0,1.427003293,10.09879254,2.41492865,4,0.390277663,-2.085478212,2.471227515,0,0,0,0,0,0,0,0,0.102381163,0,0.13541124,0,0,0,0.102381163,1.35E-01,0,0,13.43283582,86.56716418,0,0,0.038190461,0.199601942,-0.164951931
11/06/2017,Singapore,Djong,1.214449,103.787036,5,9.21,3.5,0.532662708,0.342693125,0.758164375,0.86339,0.86339,1.789,10,0.432765708,0.290856025,0.610207475,0.099897,0.0518371,0.1479569,0.082558852,-0.349661619,0.250941917,0.658193462,6.352087114,18.00724638,2.101449275,0,7.717391304,26.19565217,16.12318841,0,0,4.311594203,20.43478261,1.304347826,3,0.390277663,-1.632089381,2.199616515,0,0,0,0,0,0,0,0,0.298671156,0.134094553,0,0.00E+00,0,0,0.298671156,1.34E-01,0,0,18.0952381,81.9047619,0,0,0.134094553,0.298671156,-0.073864632
11/06/2017,Singapore,Djong,1.214449,103.787036,6,9.21,3.7,0.686812752,0.25133096,1.247378963,0.865458,0.865458,1.825,10,0.551338752,0.18103276,1.046729163,0.135474,0.0702982,0.2006498,0.190446352,-0.285811868,0.062873276,1.067874676,3.189703413,24.54479243,3.022578296,0,11.50764749,19.00946832,11.79898034,0,0,5.498907502,17.29788784,5.24399126,4,0.390277663,-1.553375731,2.311640015,0,0,0,0,0,0,0.343060525,0,0.146053395,0,0.062224832,-1.11E-16,0,0.343060525,0.146053395,6.22E-02,0,0,59.64912281,40.35087719,0,0,0.146053395,0.405285357,-0.038271582
11/01/2017,Singapore,Hantu,1.226483,103.746937,2,7.55,3.4,15.31816375,4.704087258,28.27281632,1.164801,1.164801,2.398,10,9.728117296,3.548643357,17.05450131,0.0005886,-0.0004794,0.0016566,0.1078875,8.559655396,3.440276457,16.94827041,49.62468724,0.205690778,0,0,4.319506342,27.52828248,6.41069592,0,0,4.970860473,11.38155639,4.388069935,11,0.164652351,7.127632045,2.602141851,0,0,0.551217139,0,0,0.82298706,0.512209486,0,0,0,0,13.42813207,0.551217139,1.335196546,0,1.34E+01,0,15.37815126,63.61344538,21.00840336,0.860505759,0.551217139,12.56762631,1.335196546,4.484436191
11/01/2017,Singapore,Hantu,1.226483,103.746938,3,7.55,3,9.889382199,3.896474322,16.98700752,1.00815,1.00815,1.977,10,3.512256478,1.685268284,5.774675996,0,0,0,0,2.593806478,1.685268284,5.774675996,27.31411229,0,0,0.575184881,10.39441249,32.4157765,8.50451931,0,0,1.109285127,9.613804437,15.20131471,9,0.164652351,1.331304127,2.180952351,0,0,0.731788271,0,0,0.805025266,1.426289895,0,0.264761043,1.101827515,0,5.56E+00,0.731788271,2.231315161,0.264761043,6.66E+00,0,17.22222222,30.55555556,52.22222222,0,2.080218521,5.370790959,2.437166719,0.865407664
11/01/2017,Singapore,Hantu,1.226483,103.746939,4,7.55,3.7,3.752732567,2.091964506,5.781919377,1.205644,1.205644,2.412,10,3.193714848,1.354275327,5.452279798,0.0024525,-0.0019975,0.0069025,0.1078875,1.989907848,1.244390327,5.351294798,19.7761194,0.877808989,0,0,18.01264045,34.26966292,6.25,0,0,2.808988764,9.058988764,11.97331461,10,0.164652351,0.516789497,2.683827851,0,0,0.513202164,0,0,1.196929274,0.973427943,0,0.379886074,0.425799658,0.263487453,4.44E-16,0.513202164,2.170357218,0.379886074,6.89E-01,0,5.870020964,66.24737945,27.88259958,0,0.606645106,0.578152604,2.567934856,0.7247737
11/01/2017,Singapore,Hantu,1.226483,103.74694,5,7.55,3.5,3.171038182,1.351234259,5.408579325,0.90992,0.90992,2.148,10,3.081626418,1.166858856,5.347358663,0.0017658,-0.0014382,0.0049698,0,2.254432218,1.165420656,5.352328463,28.49162011,0.636042403,0,0,7.879858657,25.93639576,5.19434629,0,0,13.71024735,18.90459364,6.113074205,9,0.164652351,1.102103867,1.984492351,0,0,0.266104826,0,0.106582838,0,1.092971553,0,0.543823936,0,0,1.156530029,0.372687664,1.092971553,0.543823936,1.16E+00,0,5.22875817,66.99346405,27.77777778,0,0.266104826,1.654511667,1.245396689,0.751482886
11/01/2017,Singapore,Hantu,1.226483,103.746941,6,7.55,3.9,3.336155382,1.453656092,5.568560199,0.816343,0.816343,1.791,10,2.005676278,1.200129082,2.829846727,0.0014715,-0.0011985,0.0041415,0.556005087,0.707433691,0.642925495,2.27798314,11.67800454,0.523012552,0,0,15.79497908,28.52161785,15.55090656,0,0,7.391910739,22.94281729,2.092050209,7,0.164652351,-0.34352566,2.353343438,0,0,0,0,0,0,0.396381225,0,0.714756907,0.212899829,0,2.008499421,0,0.396381225,0.714756907,2.22E+00,0,8.252427184,32.52427184,59.22330097,0,0.654994674,2.009860914,0.667681794,0.359245341
11/06/2017,Singapore,Hantu,1.226483,103.746942,7,7.55,4.1,1.98036847,1.198946372,2.780413822,1.033483,1.033483,2.298,10,3.469112124,2.21857242,4.931254305,0.0062784,-0.0051136,0.0176704,0.041279426,2.492582098,2.172179393,4.907645279,20.53959965,2.071867918,0,0,5.827128521,35.44836517,7.963742311,0,0,9.679507931,17.64325024,6.08611201,8,0.164652351,1.213884747,2.272897777,0,0,0,0,0,0,1.068866987,0,0.427934646,0.132585917,0,0.347965921,0,1.068866987,0.427934646,4.81E-01,0,0,56.56779661,43.43220339,0,0.347965921,0.335138742,1.294248808,1.407260024
11/07/2017,Singapore,Kusu,1.225422,103.860006,1,13.29,4.2,4.364719144,2.50393496,6.56939406,1.361261,1.361261,2.633,10,4.11417698,2.224405715,6.378801434,0.19277,0.12691,0.25863,0,3.06680398,2.351315715,6.637431434,22.31672742,11.61330822,1.632140615,0.62774639,15.22284997,29.47269303,8.945386064,0,0,0,8.945386064,6.246076585,6,1.272294406,0.377990574,3.994816406,0,0,0,0,0,0.553560152,1.665208917,0,0.604761682,0,0,1.466818392,0,2.218769069,0.604761682,1.47E+00,0,0,56.26134301,43.73865699,0,0,2.180474871,2.109874273,0.801628703
11/07/2017,Singapore,Kusu,1.225422,103.860006,2,13.29,4.4,2.506492809,1.593440418,3.633455136,1.248038,1.248038,2.531,10,2.382609035,1.517524633,3.460873248,0.191728,0.126224,0.257232,0.052684954,1.38465808,1.591063679,3.665420294,18.7139324,11.52882206,1.378446115,0.720551378,6.359649123,33.95989975,9.335839599,0,0,3.665413534,13.00125313,5.827067669,4,1.272294406,-1.181214325,3.82105536,0,0,0,0,0,0,0,0,0.427891721,0.89110857,0,1.113524519,0,0,0.427891721,2.00E+00,0,0,98.45814978,1.54185022,0,0,2.317365791,0.115159018,0.484877377
11/07/2017,Singapore,Kusu,1.225422,103.860006,3,13.29,4.2,1.474102431,0.723320912,2.418481854,1.139468,1.139468,2.204,10,1.422013289,0.756231372,2.345126888,0.160989,0.042875,0.215991,0.1078875,0.437030789,0.691218872,2.453230388,18.96472744,10.97301136,1.953125,6.889204545,18.03977273,24.57386364,9.801136364,0,0,0,9.801136364,3.267045455,8,1.272294406,-2.021113617,3.659117906,0,0,0,0,0.106582838,0,0.580921593,0,0.724489,0,0,2.22E-16,0.106582838,0.580921593,0.724489,2.22E-16,0,1.690821256,22.46376812,75.84541063,0,0.02559528,0.293319127,1.093079024,0.00153112
